date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2001-07-21,13.0,0.0125,0.986,0.0019,0.0445,0.00411,0.0402,0.0075,0.0013,0.00282,0.923,0.108,0.0136,0.00175,0.00095,5.48,7.672,0.0617,0.0017,0.0543,0.192,3.38,0.00612,0.497,0.0019,0.0113
2001-07-24,12.4,0.0125,1.2,0.0019,0.0445,0.0016,0.0462,0.0075,0.0013,0.0013,0.46,0.0768,0.00445,0.00175,0.00393,4.11,5.754,0.0558,0.0017,0.104,0.393,5.32,0.0283,0.61,0.00661,0.00551
2001-07-30,6.6,0.0125,0.674,0.0019,0.0445,0.0016,0.0396,0.0075,0.0013,0.0013,0.332,0.0466,0.00445,0.00175,0.00322,3.25,4.55,0.0351,0.0017,0.0718,0.308,2.57,0.00567,0.56,0.0019,0.00175
2001-08-02,12.7,0.0125,1.01,0.0019,0.0445,0.00473,0.0675,0.0075,0.0013,0.0013,0.711,0.302,0.00445,0.00502,0.00717,4.2,5.88,0.0785,0.0066,0.0966,0.273,3.74,0.0112,0.631,0.0102,0.0771
2001-08-04,18.8,0.0125,3.97,0.0019,0.0445,0.00827,0.0376,0.0075,0.0013,0.0013,0.125,0.197,0.00445,0.00445,0.00249,6.04,8.456,0.0915,0.0017,0.064,0.31,15.7,0.0056,0.532,0.00464,0.0234
2001-08-08,44.2,0.0125,7.32,0.0019,0.0445,0.00552,0.0819,0.0075,0.0013,0.0013,0.629,0.0932,0.00445,0.00175,0.00095,7.04,9.856,0.0492,0.00403,0.116,0.201,24.0,0.00643,0.323,0.0019,0.013
2001-08-11,14.4,0.0125,2.54,0.0019,0.0445,0.0016,0.0201,0.0075,0.0013,0.0013,0.838,0.0606,0.00445,0.00175,0.00245,4.01,5.614,0.0436,0.0017,0.0393,0.239,6.37,0.00265,3.71,0.00427,0.0165
2001-08-14,22.2,0.0125,4.05,0.0019,0.0445,0.0016,0.035,0.0075,0.0013,0.00359,0.891,0.112,0.00937,0.00175,0.00095,5.16,7.224,0.012,0.0017,0.0327,0.198,10.6,0.00265,3.22,0.0019,0.0225
2001-08-17,27.2,0.0125,1.685,0.0019,0.0445,0.00358,0.0444,0.0075,0.0013,0.0031,0.804,0.105,0.00445,0.00377,0.00448,6.24,8.736,0.0572,0.00444,0.0602,0.0881,3.76,0.0131,1.27,0.00797,0.0133
2001-08-23,25.6,0.0444,3.49,0.0019,0.0445,0.00455,0.0685,0.0075,0.0013,0.00687,0.567,0.106,0.00445,0.00643,0.00422,7.68,10.752,0.0504,0.00349,0.142,0.0353,9.98,0.0206,1.12,0.01,0.0153
